# =-=-=-=-=-=-=-=-=-=-=
# LOG DATA 
# =-=-=-=-=-=-=-=-=-=-=
#
# =-= Roborobo! 
# =-= Official version tag    : 20120605
# =-= Current build name      : Amsterdam build
# =-= Compilation version tag : Mar  5 2014 - 12:13:41
#
# Loaded time stamp           : 20140305-12h15m28s720988us
#
# random seed             : 1394021728
0 : 2 c 50
0 : 3 c 50
0 : 4 c 50
0 : 5 c 50
0 : 6 c 50
0 : 10 c 50
0 : 11 c 50
0 : 14 c 50
0 : 15 c 50
0 : 16 c 50
0 : 16 c 50
0 : 17 c 50
0 : 18 c 50
0 : 24 c 50
0 : 24 c 50
0 : 31 c 50
0 : 34 c 50
0 : 47 c 50
0 : 48 c 50
0 : 52 c 50
0 : 53 c 50
0 : 53 c 50
0 : 56 c 50
0 : 57 c 50
0 : 58 c 50
0 : 61 c 50
0 : 62 c 50
0 : 63 c 50
0 : 65 c 50
0 : 66 c 50
0 : 66 c 50
0 : 67 c 50
0 : 71 c 50
0 : 74 c 50
0 : 76 c 50
0 : 78 c 50
0 : 80 c 50
0 : 80 c 50
0 : 92 c 50
0 : 93 c 50
0 : 95 c 50
0 : 95 c 50
1 : 2 c 0
1 : 3 c 0
1 : 4 c 0
1 : 5 c 0
1 : 6 c 0
1 : 10 c 0
1 : 11 c 0
1 : 14 c 0
1 : 15 c 0
1 : 16 c 0
1 : 16 c 0
1 : 17 c 0
1 : 18 c 0
1 : 24 c 0
1 : 24 c 0
1 : 31 c 0
1 : 34 c 0
1 : 34 c 0
1 : 38 c 0
1 : 47 c 0
1 : 47 c 0
1 : 52 c 0
1 : 53 c 0
1 : 53 c 0
1 : 53 c 0
1 : 56 c 0
1 : 57 c 0
1 : 58 c 0
1 : 61 c 0
1 : 62 c 0
1 : 63 c 0
1 : 65 c 0
1 : 66 c 0
1 : 66 c 0
1 : 67 c 0
1 : 67 c 0
1 : 71 c 0
1 : 72 c 0
1 : 73 c 0
1 : 74 c 0
1 : 76 c 0
1 : 76 c 0
1 : 78 c 0
1 : 80 c 0
1 : 80 c 0
1 : 92 c 0
1 : 93 c 0
1 : 95 c 0
1 : 95 c 0
2 : 33 c 0
2 : 42 c 0
2 : 51 c 0
2 : 59 c 0
2 : 77 c 0
2 : 84 c 0
2 : 91 c 0
3 : 9 c 0
3 : 42 c 0
3 : 48 c 0
3 : 77 c 0
3 : 84 c 0
3 : 91 c 0
4 : 34 c 0
4 : 42 c 0
4 : 49 c 0
4 : 52 c 0
4 : 77 c 0
4 : 84 c 0
4 : 91 c 0
5 : 42 c 0
5 : 54 c 0
5 : 58 c 0
5 : 77 c 0
5 : 84 c 0
5 : 91 c 0
6 : 42 c 0
6 : 52 c 0
6 : 77 c 0
6 : 84 c 0
6 : 90 c 0
6 : 91 c 0
7 : 12 c 0
7 : 34 c 0
7 : 35 c 0
7 : 42 c 0
7 : 43 c 0
7 : 49 c 0
7 : 52 c 0
7 : 69 c 0
7 : 77 c 0
7 : 84 c 0
7 : 91 c 0
8 : 28 c 0
8 : 42 c 0
8 : 77 c 0
8 : 84 c 0
8 : 86 c 0
8 : 91 c 0
8 : 91 c 0
8 : 94 c 0
9 : 6 c 0
9 : 34 c 0
9 : 42 c 0
9 : 77 c 0
9 : 84 c 0
9 : 91 c 0
9 : 93 c 0
10 : 40 c 0
10 : 42 c 0
10 : 59 c 0
10 : 77 c 0
10 : 84 c 0
10 : 91 c 0
11 : 5 c 0
11 : 42 c 0
11 : 68 c 0
11 : 75 c 0
11 : 77 c 0
11 : 84 c 0
11 : 91 c 0
12 : 5 c 0
12 : 37 c 0
12 : 42 c 0
12 : 71 c 0
12 : 77 c 0
12 : 91 c 0
13 : 12 c 0
13 : 42 c 0
13 : 52 c 0
13 : 77 c 0
13 : 91 c 0
14 : 42 c 0
14 : 68 c 0
14 : 72 c 0
14 : 77 c 0
14 : 91 c 0
15 : 39 c 0
15 : 42 c 0
15 : 44 c 0
15 : 45 c 0
15 : 77 c 0
15 : 91 c 0
16 : 30 c 0
16 : 42 c 0
16 : 51 die
16 : 51 lf 17
16 : 51 a 1.20034
16 : 77 c 0
16 : 91 c 0
17 : 42 c 0
17 : 48 c 0
17 : 53 c 0
17 : 64 c 0
17 : 77 c 0
17 : 91 c 0
18 : 1 c 0
18 : 39 c 0
18 : 42 c 0
18 : 53 c 0
18 : 77 c 0
18 : 91 c 0
19 : 42 c 0
19 : 77 c 0
19 : 91 c 0
20 : 42 c 0
20 : 53 c 0
20 : 72 c 0
20 : 73 c 0
20 : 75 c 0
20 : 77 c 0
20 : 91 c 0
21 : 6 c 0
21 : 42 c 0
21 : 77 c 0
21 : 91 c 0
21 : 93 c 0
22 : 34 c 0
22 : 42 c 0
22 : 89 c 0
22 : 91 c 0
23 : 42 c 0
23 : 59 c 0
23 : 62 c 0
23 : 77 c 0
23 : 91 c 0
24 : 3 c 0
24 : 34 c 0
24 : 42 c 0
24 : 50 c 0
24 : 77 c 0
24 : 91 c 0
25 : 42 c 0
25 : 77 c 0
25 : 91 c 0
26 : 4 c 0
26 : 6 c 0
26 : 10 c 0
26 : 11 c 0
26 : 15 c 0
26 : 16 c 0
26 : 16 c 0
26 : 24 c 0
26 : 24 c 0
26 : 31 c 0
26 : 38 c 0
26 : 42 c 0
26 : 57 c 0
26 : 66 c 0
26 : 66 c 0
26 : 67 c 0
26 : 71 c 0
26 : 73 c 0
26 : 74 c 0
26 : 77 c 0
26 : 91 c 0
26 : 92 c 0
26 : 93 c 0
26 : 95 c 0
26 : 95 c 0
27 : 2 c 0
27 : 34 c 0
27 : 37 c 0
27 : 42 c 0
27 : 77 c 0
27 : 77 c 0
27 : 84 c 0
27 : 84 c 0
27 : 91 c 0
27 : 91 c 0
28 : 9 c 0
28 : 42 c 0
28 : 48 c 0
28 : 52 c 0
28 : 77 c 0
28 : 77 c 0
28 : 80 c 0
28 : 84 c 0
28 : 91 c 0
28 : 91 c 0
29 : 42 c 0
29 : 42 c 0
29 : 55 c 0
29 : 77 c 0
29 : 77 c 0
29 : 84 c 0
29 : 91 c 0
29 : 91 c 0
30 : 14 c 0
30 : 34 c 0
30 : 34 c 0
30 : 42 c 0
30 : 42 c 0
30 : 77 c 0
30 : 77 c 0
30 : 84 c 0
30 : 91 c 0
30 : 91 c 0
31 : 6 c 0
31 : 42 c 0
31 : 42 c 0
31 : 42 c 0
31 : 77 c 0
31 : 77 c 0
31 : 84 c 0
31 : 90 c 0
31 : 91 c 0
31 : 91 c 0
32 : 12 c 0
32 : 34 c 0
32 : 42 c 0
32 : 42 c 0
32 : 43 c 0
32 : 49 c 0
32 : 52 c 0
32 : 58 c 0
32 : 77 c 0
32 : 77 c 0
32 : 84 c 0
32 : 91 c 0
32 : 91 c 0
33 : 1 c 0
33 : 34 c 0
33 : 35 c 0
33 : 42 c 0
33 : 59 c 0
33 : 61 c 0
33 : 68 c 0
33 : 77 c 0
33 : 77 c 0
33 : 84 c 0
33 : 91 c 0
33 : 91 c 0
34 : 6 c 0
34 : 10 c 0
34 : 32 c 0
34 : 34 c 0
34 : 42 c 0
34 : 52 c 0
34 : 54 c 0
34 : 69 c 0
34 : 77 c 0
34 : 77 c 0
34 : 84 c 0
34 : 91 c 0
34 : 91 c 0
34 : 93 c 0
35 : 5 c 0
35 : 28 c 0
35 : 34 c 0
35 : 42 c 0
35 : 52 c 0
35 : 77 c 0
35 : 77 c 0
35 : 84 c 0
35 : 91 c 0
35 : 91 c 0
36 : 34 c 0
36 : 42 c 0
36 : 77 c 0
36 : 77 c 0
36 : 91 c 0
36 : 91 c 0
37 : 34 c 0
37 : 37 c 0
37 : 42 c 0
37 : 42 c 0
37 : 44 c 0
37 : 77 c 0
37 : 77 c 0
37 : 87 c 0
37 : 91 c 0
37 : 91 c 0
38 : 42 c 0
