# =-=-=-=-=-=-=-=-=-=-=
# LOG DATA 
# =-=-=-=-=-=-=-=-=-=-=
#
# =-= Roborobo! 
# =-= Official version tag    : 20120605
# =-= Current build name      : Amsterdam build
# =-= Compilation version tag : Feb 20 2014 - 15:25:38
#
# Loaded time stamp           : 20140220-15h46m06s394486us
#
# random seed             : 1392911166
12 : 17 c 39.2171
12 : 21 c 45.3883
12 : 24 c 27.7915
12 : 25 c 28.6357
12 : 38 c 38.0218
12 : 45 c 2.10342
12 : 50 c 48.0722
12 : 54 c 8.36239
12 : 55 c 7.72845
12 : 62 c 40.2395
12 : 71 c 36.8019
12 : 74 c 25.5893
12 : 80 c 47.7424
12 : 80 c 47.7424
12 : 80 c 47.7424
12 : 91 c 6.22634
12 : 94 c 3.64529
13 : 1 c 1.45995
13 : 8 c 48.9751
13 : 14 c 27.5369
13 : 17 c 35.7215
13 : 20 c 29.3644
13 : 28 c 22.5407
13 : 42 c 45.0388
13 : 50 c 48.2448
13 : 51 c 43.5169
13 : 63 c 34.9048
13 : 64 c 10.2201
13 : 76 c 2.68661
13 : 79 c 35.9235
13 : 79 c 35.9235
13 : 80 c 47.8938
13 : 80 c 47.8938
13 : 80 c 47.8938
13 : 93 c 38.9073
13 : 96 c 33.8501
13 : 96 c 33.8501
14 : 16 c 3.41425
14 : 16 c 3.41425
14 : 18 c 15.886
14 : 21 c 44.9185
14 : 21 c 44.9185
14 : 35 c 3.33018
14 : 43 c 5.95106
14 : 47 c 8.45103
14 : 47 c 8.45103
14 : 48 c 43.3369
14 : 49 c 39.509
14 : 50 c 48.3542
14 : 52 c 44.1153
14 : 54 c 8.81831
14 : 64 c 10.8159
14 : 75 c 39.2871
14 : 80 c 48.0969
14 : 80 c 48.0969
14 : 82 c 37.9947
14 : 82 c 37.9947
14 : 90 c 0.133884
14 : 90 c 0.133884
14 : 90 c 0.133884
14 : 95 c 22.3499
14 : 98 c 31.2483
15 : 22 c 13.8244
15 : 29 c 41.4324
15 : 33 c 9.46194
15 : 42 c 45.0514
15 : 50 c 48.3959
15 : 50 c 48.3959
15 : 70 c 5.13373
15 : 71 c 36.8334
15 : 80 c 48.316
15 : 80 c 48.316
15 : 81 c 20.6679
15 : 86 c 2.18633
15 : 91 c 1.76316
15 : 92 c 49.6265
15 : 94 c 2.58089
16 : 3 c 6.11974
16 : 14 c 27.7135
16 : 19 c 10.8208
16 : 20 c 28.5434
16 : 21 c 44.3767
16 : 25 c 28.3277
16 : 29 c 41.5157
16 : 31 c 32.8573
16 : 35 c 16.4776
16 : 35 c 16.4776
16 : 35 c 16.4776
16 : 46 c 47.95
16 : 46 c 47.95
16 : 50 c 48.479
16 : 50 c 48.479
16 : 52 c 44.6115
16 : 57 c 44.3316
16 : 57 c 44.3316
16 : 58 c 30.6187
16 : 62 c 20.3315
16 : 76 c 1.72589
16 : 80 c 48.5945
16 : 80 c 48.5945
16 : 87 c 45.0431
16 : 92 c 49.5821
16 : 94 c 2.83
17 : 12 c 35.0526
17 : 17 c 36.0519
17 : 23 c 44.6376
17 : 38 c 37.9501
17 : 40 c 46.9399
17 : 41 c 25.2966
17 : 42 c 45.2411
17 : 43 c 4.53575
17 : 49 c 39.3719
17 : 50 c 48.7672
17 : 50 c 48.7672
17 : 50 c 48.7672
17 : 52 c 39.1204
17 : 54 c 9.75868
17 : 56 c 13.2967
17 : 68 c 17.1368
17 : 69 c 8.5274
17 : 70 c 3.008
17 : 80 c 48.8921
17 : 80 c 48.8921
17 : 90 c 0.174683
17 : 91 c 3.2939
17 : 92 c 47.5305
17 : 95 c 13.908
17 : 99 c 38.9907
18 : 4 c 3.13686
18 : 16 c 3.79695
18 : 21 c 44.0274
18 : 30 c 30.724
18 : 38 c 37.8897
18 : 39 c 19.3903
18 : 40 c 46.8122
18 : 50 c 48.2527
18 : 50 c 48.2527
18 : 50 c 48.2527
18 : 52 c 44.8099
18 : 53 c 24.4464
