# =-=-=-=-=-=-=-=-=-=-=
# LOG DATA 
# =-=-=-=-=-=-=-=-=-=-=
#
# =-= Roborobo! 
# =-= Official version tag    : 20120605
# =-= Current build name      : Amsterdam build
# =-= Compilation version tag : Mar  4 2014 - 10:39:23
#
# Loaded time stamp           : 20140304-14h32m39s744043us
#
# random seed             : 1393943559
0 : 1 c 50
0 : 1 c 50
0 : 6 c 50
0 : 9 c 50
0 : 9 c 50
0 : 10 c 50
0 : 11 c 50
0 : 13 c 50
0 : 16 c 50
0 : 17 c 50
0 : 18 c 50
0 : 19 c 50
0 : 19 c 50
0 : 25 c 50
0 : 26 c 50
0 : 27 c 50
0 : 28 c 50
0 : 29 c 50
0 : 29 c 50
0 : 35 c 50
0 : 40 c 50
0 : 42 c 50
0 : 47 c 50
0 : 55 c 50
0 : 56 c 50
0 : 59 c 50
0 : 62 c 50
0 : 65 c 50
0 : 67 c 50
0 : 68 c 50
0 : 68 c 50
0 : 69 c 50
0 : 72 c 50
0 : 72 c 50
0 : 73 c 50
0 : 75 c 50
0 : 76 c 50
0 : 76 c 50
0 : 79 c 50
0 : 79 c 50
0 : 90 c 50
0 : 90 c 50
0 : 95 c 50
0 : 97 c 50
0 : 98 c 50
1 : 1 c 39.7034
1 : 1 c 39.7034
1 : 6 c 1.15488
1 : 8 c 12.4738
1 : 9 c 47.2799
1 : 9 c 47.2799
1 : 10 c 41.5607
1 : 11 c 33.9579
1 : 16 c 26.4202
1 : 17 c 1.30291
1 : 18 c 49.9177
1 : 19 c 32.2228
1 : 19 c 32.2228
1 : 25 c 44.5818
1 : 26 c 48.0303
1 : 27 c 24.261
1 : 28 c 46.218
1 : 29 c 8.65007
1 : 29 c 8.65007
1 : 35 c 43.762
1 : 42 c 44.9083
1 : 55 c 1.82948
1 : 56 c 47.3959
1 : 59 c 49.4312
1 : 62 c 30.7923
1 : 65 c 1.26091
1 : 65 c 1.26091
1 : 67 c 49.5249
1 : 68 c 31.4642
1 : 68 c 31.4642
1 : 69 c 32.7692
1 : 72 c 35.0763
1 : 72 c 35.0763
1 : 73 c 44.4328
1 : 75 c 25.3479
1 : 75 c 25.3479
1 : 76 c 6.74537
1 : 79 c 23.0404
1 : 79 c 23.0404
1 : 90 c 1.44456
1 : 90 c 1.44456
1 : 95 c 34.4936
1 : 95 c 34.4936
1 : 97 c 3.76247
1 : 98 c 4.47956
2 : 9 c 48.9057
2 : 9 c 48.9057
2 : 18 c 49.5426
2 : 23 c 36.3019
2 : 26 c 48.7218
2 : 28 c 41.4452
2 : 30 c 4.07463
2 : 51 c 45.2144
2 : 54 c 36.1974
2 : 56 c 47.3781
2 : 59 c 49.8755
2 : 67 c 48.0868
3 : 9 c 48.9086
3 : 9 c 48.9086
3 : 18 c 49.9084
3 : 25 c 41.1376
3 : 26 c 48.6711
3 : 42 c 45.911
3 : 55 c 2.07227
3 : 56 c 47.4857
3 : 59 c 49.8668
3 : 67 c 46.3563
4 : 9 c 48.9106
4 : 9 c 48.9106
4 : 13 c 43.1402
4 : 18 c 49.6443
4 : 26 c 48.6496
4 : 35 c 42.9884
4 : 51 c 45.7495
4 : 56 c 47.6438
4 : 59 c 49.8661
4 : 67 c 47.2647
5 : 6 c 0.919743
5 : 9 c 48.9119
5 : 9 c 48.9119
5 : 18 c 49.9044
5 : 26 c 48.6748
5 : 34 c 49.6413
5 : 40 c 38.4349
5 : 42 c 45.9985
5 : 49 c 32.2141
5 : 56 c 47.6369
5 : 59 c 49.8671
5 : 67 c 48.1266
6 : 1 c 24.5938
6 : 9 c 48.9129
6 : 18 c 49.9035
6 : 26 c 48.653
6 : 28 c 39.4947
6 : 34 c 49.5951
6 : 47 c 46.4937
6 : 51 c 40.3781
6 : 56 c 47.5108
6 : 67 c 48.6966
6 : 67 c 48.6966
6 : 82 c 6.69962
6 : 92 c 8.44587
7 : 8 c 17.0257
7 : 9 c 48.9137
7 : 18 c 49.7428
7 : 25 c 38.7768
7 : 26 c 48.6311
7 : 30 c 19.8868
7 : 31 c 4.66283
7 : 34 c 49.5369
7 : 35 c 29.6949
7 : 42 c 45.7871
7 : 47 c 46.1463
7 : 53 c 39.6617
7 : 56 c 47.2775
7 : 67 c 48.6873
7 : 67 c 48.6873
8 : 13 c 41.6989
8 : 18 c 49.8206
8 : 26 c 48.6115
8 : 34 c 49.1585
8 : 47 c 45.7203
8 : 53 c 38.2959
8 : 56 c 47.0868
8 : 63 c 14.4351
8 : 67 c 48.6907
8 : 67 c 48.6907
8 : 76 c 17.5811
8 : 77 c 16.4391
8 : 95 c 48.1319
9 : 11 c 46.3413
9 : 18 c 49.8439
9 : 19 c 27.98
9 : 19 c 27.98
9 : 26 c 48.5961
9 : 34 c 49.2887
9 : 42 c 45.9023
9 : 56 c 46.9441
9 : 67 c 48.6936
9 : 67 c 48.6936
9 : 69 c 40.6599
9 : 70 c 44.5826
9 : 95 c 48.0937
10 : 6 c 0.947407
10 : 11 c 45.1162
10 : 18 c 49.7892
10 : 26 c 48.5275
10 : 28 c 42.9697
10 : 34 c 49.4093
10 : 40 c 34.3226
10 : 47 c 48.1659
10 : 51 c 46.6428
10 : 56 c 46.7558
10 : 62 c 33.428
10 : 67 c 48.4845
10 : 67 c 48.4845
10 : 68 c 22.7274
10 : 68 c 22.7274
10 : 91 c 6.20877
10 : 95 c 47.843
10 : 99 c 23.0586
11 : 26 c 48.5818
11 : 28 c 44.4868
11 : 34 c 49.5135
11 : 42 c 45.0463
11 : 47 c 48.0198
11 : 50 c 25.9427
11 : 51 c 48.0515
11 : 56 c 46.7002
11 : 67 c 46.2827
11 : 67 c 46.2827
11 : 70 c 44.1337
11 : 95 c 47.3173
12 : 2 c 39.623
12 : 11 c 45.1457
12 : 13 c 39.9191
12 : 16 c 31.3626
12 : 34 c 49.5902
12 : 47 c 47.868
12 : 51 c 48.2963
12 : 53 c 40.486
12 : 56 c 46.6809
12 : 67 c 46.1674
12 : 67 c 46.1674
12 : 95 c 49.0361
12 : 99 c 35.0894
13 : 1 c 25.8312
13 : 27 c 32.883
13 : 28 c 41.9832
13 : 34 c 49.6409
13 : 42 c 45.321
13 : 47 c 47.7084
13 : 51 c 48.437
13 : 53 c 38.5714
13 : 56 c 46.6376
13 : 67 c 47.257
13 : 67 c 47.257
13 : 69 c 41.973
13 : 70 c 42.7146
13 : 72 c 43.1962
13 : 73 c 41.6204
13 : 75 c 34.7171
13 : 75 c 34.7171
13 : 95 c 49.3781
14 : 11 c 41.9989
14 : 47 c 47.5371
14 : 51 c 15.1042
14 : 56 c 46.6188
14 : 67 c 48.7328
14 : 79 c 27.561
14 : 79 c 27.561
14 : 95 c 49.2922
14 : 95 c 49.2922
14 : 98 c 3.70425
15 : 42 c 45.4865
15 : 47 c 47.3495
15 : 49 c 23.5336
15 : 53 c 38.1673
15 : 56 c 46.5887
15 : 67 c 48.6649
15 : 95 c 47.7057
15 : 95 c 47.7057
16 : 47 c 47.1401
16 : 53 c 40.9935
16 : 56 c 46.6308
16 : 67 c 48.4646
16 : 70 c 42.6346
16 : 72 c 43.8167
16 : 95 c 47.0546
16 : 95 c 47.0546
17 : 2 c 47.1171
17 : 13 c 37.8606
17 : 28 c 40.3338
17 : 35 c 41.947
17 : 42 c 45.7824
17 : 47 c 46.9024
17 : 56 c 46.6569
17 : 62 c 34.7778
17 : 67 c 48.6088
17 : 69 c 38.2759
17 : 73 c 41.9087
17 : 90 c 1.22659
17 : 95 c 46.6572
17 : 95 c 46.6572
18 : 1 c 25.8
18 : 2 c 44.6545
18 : 11 c 42.2573
18 : 19 c 17.0628
18 : 23 c 32.6612
18 : 26 c 46.8334
18 : 40 c 36.5482
18 : 45 c 0.474648
18 : 47 c 46.6278
18 : 53 c 40.9644
18 : 56 c 46.6476
18 : 62 c 31.4228
18 : 67 c 48.5642
18 : 88 c 46.7778
18 : 95 c 46.3994
18 : 95 c 46.3994
19 : 18 c 49.8591
19 : 26 c 47.1312
19 : 42 c 45.973
19 : 43 c 23.5257
19 : 45 c 0.451881
19 : 47 c 46.3035
19 : 48 c 1.43941
19 : 56 c 46.6556
19 : 67 c 48.4284
19 : 70 c 43.1104
19 : 72 c 45.3447
19 : 88 c 46.7007
19 : 95 c 46.2188
19 : 95 c 46.2188
19 : 99 c 29.7143
20 : 2 c 44.7465
20 : 8 c 13.463
20 : 18 c 49.8386
20 : 19 c 20.3992
20 : 19 c 20.3992
20 : 26 c 47.4152
20 : 39 c 48.5514
20 : 47 c 45.9086
20 : 53 c 37.0815
20 : 56 c 46.659
20 : 59 c 49.8794
20 : 59 c 49.8794
20 : 75 c 32.4422
20 : 75 c 32.4422
20 : 88 c 44.14
21 : 8 c 12.1399
21 : 11 c 46.3421
21 : 16 c 26.3353
21 : 18 c 49.8468
21 : 26 c 47.667
21 : 27 c 22.667
21 : 28 c 44.4472
21 : 30 c 8.01496
21 : 35 c 27.4866
21 : 39 c 48.5488
21 : 42 c 46.0572
21 : 45 c 0.49992
21 : 56 c 46.6503
21 : 59 c 49.4793
21 : 59 c 49.4793
21 : 72 c 45.6879
