# =-=-=-=-=-=-=-=-=-=-=
# LOG DATA 
# =-=-=-=-=-=-=-=-=-=-=
#
# =-= Roborobo! 
# =-= Official version tag    : 20120605
# =-= Current build name      : Amsterdam build
# =-= Compilation version tag : Mar  5 2014 - 11:11:36
#
# Loaded time stamp           : 20140305-12h11m55s814087us
#
# random seed             : 1394021515
0 : 0 c 50
0 : 1 c 50
0 : 1 c 50
0 : 3 c 50
0 : 4 c 50
0 : 5 c 50
0 : 6 c 50
0 : 7 c 50
0 : 13 c 50
0 : 18 c 50
0 : 21 c 50
0 : 23 c 50
0 : 24 c 50
0 : 28 c 50
0 : 31 c 50
0 : 33 c 50
0 : 37 c 50
0 : 42 c 50
0 : 44 c 50
0 : 45 c 50
0 : 47 c 50
0 : 48 c 50
0 : 50 c 50
0 : 52 c 50
0 : 55 c 50
0 : 58 c 50
0 : 58 c 50
0 : 58 c 50
0 : 59 c 50
0 : 62 c 50
0 : 65 c 50
0 : 65 c 50
0 : 67 c 50
0 : 67 c 50
0 : 67 c 50
0 : 71 c 50
0 : 72 c 50
0 : 72 c 50
0 : 73 c 50
0 : 78 c 50
0 : 78 c 50
0 : 80 c 50
0 : 84 c 50
0 : 86 c 50
0 : 91 c 50
0 : 92 c 50
0 : 92 c 50
0 : 96 c 50
0 : 97 c 50
0 : 99 c 50
1 : 0 c 0
1 : 1 c 0
1 : 1 c 0
1 : 3 c 0
1 : 4 c 0
1 : 5 c 0
1 : 6 c 0
1 : 6 c 0
1 : 7 c 0
1 : 13 c 0
1 : 18 c 0
1 : 23 c 0
1 : 24 c 0
1 : 28 c 0
1 : 31 c 0
1 : 33 c 0
1 : 37 c 0
1 : 42 c 0
1 : 45 c 0
1 : 47 c 0
1 : 48 c 0
1 : 50 c 0
1 : 52 c 0
1 : 53 c 0
1 : 55 c 0
1 : 58 c 0
1 : 58 c 0
1 : 58 c 0
1 : 65 c 0
1 : 65 c 0
1 : 67 c 0
1 : 67 c 0
1 : 67 c 0
1 : 71 c 0
1 : 71 c 0
1 : 72 c 0
1 : 72 c 0
1 : 73 c 0
1 : 78 c 0
1 : 78 c 0
1 : 80 c 0
1 : 84 c 0
1 : 84 c 0
1 : 86 c 0
1 : 91 c 0
1 : 92 c 0
1 : 92 c 0
1 : 96 c 0
1 : 97 c 0
1 : 99 c 0
2 : 5 c 0
2 : 64 c 0
2 : 71 c 0
2 : 72 c 0
3 : 7 c 0
3 : 10 c 0
3 : 27 c 0
4 : 15 c 0
4 : 22 c 0
4 : 22 c 0
5 : 76 c 0
5 : 94 c 0
6 : 5 c 0
6 : 16 c 0
6 : 22 c 0
6 : 59 c 0
6 : 97 c 0
7 : 1 c 0
7 : 20 c 0
7 : 63 c 0
7 : 69 c 0
8 : 57 c 0
8 : 90 c 0
9 : 45 c 0
10 : 26 c 0
10 : 35 c 0
10 : 64 c 0
10 : 73 c 0
10 : 73 c 0
10 : 82 c 0
12 : 71 c 0
13 : 11 c 0
13 : 20 c 0
13 : 35 c 0
13 : 47 c 0
13 : 81 c 0
15 : 88 c 0
16 : 5 c 0
17 : 96 die
17 : 96 lf 18
17 : 96 a 1.13365
18 : 7 c 0
19 : 64 c 0
21 : 1 die
21 : 1 lf 22
21 : 1 a 1.19255
21 : 58 c 0
21 : 61 c 0
21 : 86 c 0
22 : 14 c 0
22 : 92 die
22 : 92 lf 23
22 : 92 a 0.380232
23 : 86 c 0
25 : 43 c 0
25 : 47 c 0
25 : 76 c 0
25 : 79 c 0
26 : 6 c 0
26 : 7 c 0
26 : 7 c 0
26 : 13 c 0
26 : 23 c 0
26 : 28 c 0
26 : 33 c 0
26 : 37 c 0
26 : 42 c 0
26 : 43 c 0
26 : 45 c 0
26 : 52 c 0
26 : 55 c 0
26 : 65 c 0
26 : 73 c 0
26 : 78 c 0
26 : 78 c 0
26 : 80 c 0
26 : 86 c 0
26 : 99 c 0
27 : 0 c 0
27 : 3 c 0
27 : 19 c 0
27 : 47 c 0
27 : 53 c 0
28 : 10 c 0
28 : 27 c 0
29 : 6 c 0
29 : 22 c 0
29 : 22 c 0
29 : 47 c 0
29 : 67 c 0
29 : 94 c 0
30 : 5 c 0
30 : 15 c 0
30 : 49 c 0
30 : 50 c 0
30 : 51 die
30 : 51 lf 31
30 : 51 a 0.846323
30 : 76 c 0
31 : 4 c 0
31 : 22 c 0
31 : 26 c 0
31 : 81 c 0
31 : 97 c 0
32 : 63 c 0
32 : 67 c 0
32 : 69 c 0
32 : 88 c 0
33 : 57 c 0
33 : 81 c 0
33 : 84 c 0
34 : 5 c 0
34 : 41 c 0
34 : 45 c 0
34 : 48 c 0
34 : 79 c 0
35 : 35 c 0
35 : 48 c 0
35 : 67 c 0
35 : 72 c 0
35 : 95 c 0
37 : 3 c 0
37 : 58 c 0
37 : 64 c 0
38 : 7 c 0
38 : 35 c 0
38 : 47 c 0
38 : 58 c 0
38 : 59 c 0
39 : 20 c 0
39 : 73 c 0
39 : 76 c 0
40 : 88 c 0
41 : 47 c 0
42 : 8 c 0
42 : 13 c 0
42 : 26 c 0
42 : 31 c 0
42 : 48 c 0
42 : 82 c 0
42 : 86 c 0
43 : 34 c 0
44 : 38 c 0
45 : 94 c 0
49 : 84 c 0
50 : 5 c 0
50 : 21 c 0
50 : 76 c 0
51 : 13 c 0
51 : 23 c 0
51 : 37 c 0
51 : 37 c 0
51 : 42 c 0
51 : 45 c 0
51 : 52 c 0
51 : 65 c 0
51 : 73 c 0
51 : 78 c 0
51 : 78 c 0
51 : 80 c 0
51 : 99 c 0
52 : 0 c 0
52 : 6 c 0
52 : 81 c 0
53 : 19 c 0
53 : 53 c 0
54 : 14 c 0
54 : 19 c 0
54 : 22 c 0
54 : 22 c 0
54 : 64 c 0
54 : 67 c 0
54 : 94 c 0
55 : 26 c 0
55 : 81 c 0
56 : 3 c 0
56 : 7 c 0
56 : 15 c 0
56 : 22 c 0
56 : 71 c 0
56 : 79 c 0
56 : 97 c 0
56 : 98 c 0
57 : 5 c 0
57 : 21 c 0
57 : 63 c 0
57 : 69 c 0
57 : 88 c 0
58 : 28 c 0
58 : 84 c 0
59 : 45 c 0
59 : 57 c 0
60 : 5 c 0
60 : 27 c 0
60 : 29 c 0
60 : 35 c 0
60 : 48 c 0
60 : 58 c 0
60 : 71 c 0
60 : 95 c 0
61 : 7 c 0
61 : 19 c 0
61 : 72 c 0
62 : 3 c 0
62 : 4 c 0
62 : 64 c 0
63 : 52 c 0
63 : 86 c 0
64 : 34 c 0
64 : 76 c 0
65 : 50 c 0
65 : 86 c 0
66 : 21 c 0
66 : 79 c 0
67 : 13 c 0
67 : 31 c 0
68 : 8 c 0
68 : 29 c 0
68 : 34 c 0
68 : 67 c 0
68 : 73 c 0
69 : 73 c 0
71 : 10 c 0
71 : 10 c 0
71 : 35 c 0
71 : 59 c 0
72 : 20 c 0
72 : 71 c 0
