# =-=-=-=-=-=-=-=-=-=-=
# LOG DATA 
# =-=-=-=-=-=-=-=-=-=-=
#
# =-= Roborobo! 
# =-= Official version tag    : 20120605
# =-= Current build name      : Amsterdam build
# =-= Compilation version tag : Feb 20 2014 - 15:25:38
#
# Loaded time stamp           : 20140220-16h27m29s068643us
#
# random seed             : 1392913649
0 : 0 c 50
0 : 0 c 50
0 : 1 c 50
0 : 3 c 50
0 : 11 c 50
0 : 12 c 50
0 : 12 c 50
0 : 14 c 50
0 : 14 c 50
0 : 15 c 50
0 : 16 c 50
0 : 26 c 50
0 : 27 c 50
0 : 30 c 50
0 : 33 c 50
0 : 35 c 50
0 : 39 c 50
0 : 39 c 50
0 : 43 c 50
0 : 44 c 50
0 : 44 c 50
0 : 49 c 50
0 : 53 c 50
0 : 53 c 50
0 : 53 c 50
0 : 62 c 50
0 : 65 c 50
0 : 65 c 50
0 : 66 c 50
0 : 67 c 50
0 : 77 c 50
0 : 78 c 50
0 : 80 c 50
0 : 83 c 50
0 : 84 c 50
0 : 86 c 50
0 : 86 c 50
0 : 92 c 50
0 : 95 c 50
1 : 0 c 0.1493
1 : 0 c 0.1493
1 : 1 c 21.5407
1 : 3 c 20.1917
1 : 3 c 20.1917
1 : 6 c 46.2654
1 : 11 c 42.7562
1 : 12 c 43.2794
1 : 12 c 43.2794
1 : 12 c 43.2794
1 : 14 c 5.27445
1 : 15 c 4.5819
1 : 16 c 16.393
1 : 19 c 3.3229
1 : 26 c 23.3293
1 : 27 c 12.3056
1 : 28 c 2.20374
1 : 28 c 2.20374
1 : 30 c 16.8801
1 : 33 c 5.50936
1 : 35 c 11.3541
1 : 39 c 31.1025
1 : 39 c 31.1025
1 : 43 c 4.20147
1 : 44 c 49.3524
1 : 44 c 49.3524
1 : 49 c 3.32392
1 : 53 c 40.4604
1 : 53 c 40.4604
1 : 53 c 40.4604
1 : 58 c 0.966778
1 : 60 c 0.473618
1 : 60 c 0.473618
1 : 62 c 26.11
1 : 65 c 16.8904
1 : 65 c 16.8904
1 : 66 c 45.6267
1 : 67 c 5.73868
1 : 77 c 31.0478
1 : 78 c 42.5159
1 : 80 c 45.788
1 : 83 c 11.9568
1 : 84 c 4.52067
1 : 84 c 4.52067
1 : 86 c 0.504349
1 : 86 c 0.504349
1 : 92 c 41.8829
1 : 95 c 3.05348
2 : 3 c 18.355
2 : 12 c 40.5597
2 : 16 c 20.0757
2 : 28 c 5.20023
2 : 33 c 6.21459
2 : 44 c 49.6127
2 : 44 c 49.6127
2 : 58 c 0.851948
2 : 92 c 27.8879
2 : 96 c 24.3865
3 : 5 c 7.78761
3 : 24 c 4.59479
3 : 34 c 27.921
3 : 44 c 49.4086
3 : 44 c 49.4086
3 : 66 c 46.6122
3 : 92 c 27.1674
3 : 94 c 18.8522
4 : 5 c 6.58047
4 : 10 c 27.9428
4 : 11 c 49.1392
4 : 12 c 44.2891
4 : 12 c 44.2891
4 : 35 c 8.42521
4 : 41 c 5.97388
4 : 44 c 49.4677
4 : 46 c 39.1577
4 : 46 c 39.1577
4 : 66 c 47.0478
4 : 88 c 40.6568
4 : 90 c 9.20372
4 : 90 c 9.20372
4 : 97 c 38.3902
5 : 11 c 49.1631
5 : 11 c 49.1631
5 : 21 c 47.1955
5 : 32 c 22.0979
5 : 36 c 18.7326
5 : 39 c 39.7514
5 : 43 c 1.56835
5 : 44 c 49.3036
5 : 53 c 46.6903
5 : 53 c 46.6903
5 : 53 c 46.6903
5 : 57 c 31.9883
5 : 66 c 47.2809
5 : 66 c 47.2809
5 : 87 c 48.1983
5 : 92 c 28.8784
5 : 92 c 28.8784
6 : 11 c 49.2757
6 : 11 c 49.2757
6 : 12 c 40.5366
6 : 12 c 40.5366
6 : 20 c 0.154221
6 : 21 c 46.6832
6 : 21 c 46.6832
6 : 34 c 27.3458
6 : 41 c 7.31968
6 : 44 c 49.4813
6 : 53 c 46.7372
6 : 53 c 46.7372
6 : 53 c 46.7372
6 : 63 c 18.3123
6 : 66 c 47.3273
6 : 66 c 47.3273
6 : 66 c 47.3273
6 : 72 c 13.8503
6 : 74 c 47.0711
6 : 76 c 43.1248
6 : 79 c 48.5169
6 : 87 c 48.3592
7 : 11 c 48.8935
7 : 11 c 48.8935
7 : 35 c 10.2197
7 : 39 c 28.4546
7 : 43 c 1.39323
7 : 44 c 49.5951
7 : 45 c 21.8409
7 : 53 c 46.5726
7 : 53 c 46.5726
7 : 54 c 15.2108
7 : 65 c 47.1527
7 : 66 c 47.305
7 : 66 c 47.305
7 : 66 c 47.305
7 : 69 c 47.6811
7 : 74 c 47.1773
7 : 76 c 16.309
7 : 91 c 10.2942
7 : 96 c 44.8405
8 : 1 c 44.1215
8 : 11 c 46.97
8 : 11 c 46.97
8 : 11 c 46.97
8 : 12 c 43.4871
8 : 27 c 10.7829
8 : 28 c 2.94967
8 : 29 c 17.3266
8 : 44 c 49.7448
8 : 53 c 46.444
8 : 53 c 46.444
8 : 56 c 9.03306
8 : 62 c 23.872
8 : 65 c 46.4305
8 : 66 c 47.259
8 : 66 c 47.259
8 : 66 c 47.259
8 : 67 c 9.84857
8 : 68 c 49.1404
8 : 72 c 16.4363
8 : 74 c 47.2793
8 : 87 c 48.2387
8 : 88 c 31.9444
8 : 96 c 44.8575
9 : 0 c 0.112984
9 : 11 c 44.8908
9 : 11 c 44.8908
9 : 16 c 24.0545
9 : 24 c 5.36354
9 : 44 c 49.8107
9 : 44 c 49.8107
9 : 44 c 49.8107
9 : 48 c 24.9057
9 : 53 c 46.7958
9 : 53 c 46.7958
9 : 57 c 32.3474
9 : 61 c 26.0996
9 : 65 c 46.7142
9 : 65 c 46.7142
9 : 66 c 46.0195
9 : 66 c 46.0195
9 : 71 c 25.8774
9 : 72 c 19.2889
9 : 73 c 6.06752
9 : 73 c 6.06752
9 : 74 c 47.3837
9 : 77 c 39.4992
9 : 80 c 48.532
9 : 81 c 40.0618
9 : 82 c 5.1797
9 : 85 c 48.0127
9 : 85 c 48.0127
9 : 91 c 44.512
10 : 1 c 44.565
