# =-=-=-=-=-=-=-=-=-=-=
# LOG DATA 
# =-=-=-=-=-=-=-=-=-=-=
#
# =-= Roborobo! 
# =-= Official version tag    : 20120605
# =-= Current build name      : Amsterdam build
# =-= Compilation version tag : Mar  4 2014 - 10:39:23
#
# Loaded time stamp           : 20140304-10h52m33s512127us
#
# random seed             : 1393930353
0 : 8 c 50
0 : 10 c 50
0 : 11 c 50
0 : 11 c 50
0 : 12 c 50
0 : 18 c 50
0 : 19 c 50
0 : 20 c 50
0 : 21 c 50
0 : 22 c 50
0 : 24 c 50
0 : 31 c 50
0 : 31 c 50
0 : 39 c 50
0 : 40 c 50
0 : 41 c 50
0 : 42 c 50
0 : 42 c 50
0 : 45 c 50
0 : 46 c 50
0 : 49 c 50
0 : 51 c 50
0 : 51 c 50
0 : 52 c 50
0 : 52 c 50
0 : 57 c 50
0 : 59 c 50
0 : 63 c 50
0 : 64 c 50
0 : 65 c 50
0 : 69 c 50
0 : 75 c 50
0 : 79 c 50
0 : 80 c 50
0 : 86 c 50
0 : 89 c 50
0 : 90 c 50
0 : 98 c 50
0 : 98 c 50
1 : 5 c 8.95644
1 : 8 c 38.3724
1 : 8 c 38.3724
1 : 10 c 11.3329
1 : 11 c 5.96239
1 : 11 c 5.96239
1 : 12 c 15.2329
1 : 18 c 28.2199
1 : 18 c 28.2199
1 : 19 c 31.7387
1 : 20 c 49.3636
1 : 21 c 49.2261
1 : 22 c 47.7943
1 : 24 c 29.7754
1 : 24 c 29.7754
1 : 31 c 1.61708
1 : 31 c 1.61708
1 : 39 c 27.2082
1 : 40 c 36.3408
1 : 40 c 36.3408
1 : 41 c 1.21904
1 : 42 c 0.0899467
1 : 45 c 49.5312
1 : 46 c 44.134
1 : 49 c 31.111
1 : 51 c 42.5167
1 : 51 c 42.5167
1 : 52 c 1.98384
1 : 52 c 1.98384
1 : 59 c 21.4489
1 : 59 c 21.4489
1 : 63 c 44.7684
1 : 64 c 47.8346
1 : 65 c 38.2402
1 : 69 c 27.634
1 : 75 c 42.9644
1 : 76 c 19.1078
1 : 79 c 10.3954
1 : 86 c 48.4185
1 : 89 c 45.4576
1 : 90 c 0.17168
1 : 91 c 6.73721
1 : 95 c 4.50985
1 : 98 c 1.34071
1 : 98 c 1.34071
2 : 0 c 3.61016
2 : 1 c 49.3053
2 : 20 c 49.1535
2 : 21 c 48.6832
2 : 22 c 48.1347
2 : 23 c 5.0057
2 : 25 c 19.6872
2 : 45 c 49.8353
2 : 46 c 41.346
2 : 48 c 12.6662
2 : 61 c 40.1044
2 : 64 c 49.1335
2 : 64 c 49.1335
2 : 70 c 14.0033
2 : 86 c 49.2994
2 : 89 c 21.7392
3 : 5 c 14.0939
3 : 20 c 49.125
3 : 20 c 49.125
3 : 21 c 48.6677
3 : 22 c 47.4733
3 : 24 c 23.1319
3 : 25 c 19.6017
3 : 42 c 0.153664
3 : 45 c 49.6064
3 : 46 c 43.9329
3 : 55 c 30.9732
3 : 63 c 43.5491
3 : 64 c 49.1276
3 : 68 c 31.4365
3 : 79 c 8.47659
3 : 86 c 49.0357
3 : 89 c 21.3502
3 : 89 c 21.3502
4 : 0 c 5.14538
4 : 1 c 49.3065
4 : 20 c 48.9014
4 : 21 c 48.4174
4 : 41 c 2.49081
4 : 45 c 49.6173
4 : 51 c 45.3212
4 : 51 c 45.3212
4 : 56 c 37.5144
4 : 64 c 49.1223
4 : 66 c 49.3131
4 : 69 c 27.3319
4 : 73 c 6.64363
4 : 85 c 4.40939
4 : 93 c 3.40679
4 : 95 c 12.2846
5 : 3 c 21.0354
5 : 6 c 4.46997
5 : 20 c 48.9518
5 : 26 c 8.4778
5 : 30 c 6.54918
5 : 33 c 49.5528
5 : 40 c 42.4621
5 : 42 c 0.165348
5 : 44 c 33.9846
5 : 45 c 49.6647
5 : 52 c 2.99907
5 : 54 c 43.3894
5 : 54 c 43.3894
5 : 63 c 45.1992
5 : 64 c 48.436
5 : 64 c 48.436
5 : 88 c 23.6163
5 : 95 c 5.0216
5 : 99 c 21.096
6 : 17 c 32.1165
6 : 20 c 48.8928
6 : 22 c 46.2648
6 : 33 c 49.4123
6 : 45 c 49.6894
6 : 46 c 42.2728
6 : 51 c 46.0085
6 : 51 c 46.0085
6 : 54 c 43.4623
6 : 61 c 39.9091
6 : 63 c 43.4016
6 : 64 c 49.138
6 : 64 c 49.138
6 : 65 c 14.137
6 : 88 c 23.516
7 : 3 c 17.7379
7 : 5 c 20.2297
7 : 20 c 48.8416
7 : 22 c 46.0019
7 : 24 c 5.83731
7 : 33 c 49.4423
7 : 37 c 49.7948
7 : 39 c 34.7031
7 : 40 c 41.7773
7 : 40 c 41.7773
7 : 43 c 46.597
7 : 43 c 46.597
7 : 45 c 49.7035
7 : 51 c 46.0215
7 : 51 c 46.0215
7 : 59 c 32.6568
7 : 64 c 49.1325
7 : 66 c 49.3516
7 : 71 c 1.93089
7 : 72 c 3.25291
7 : 80 c 15.9507
7 : 81 c 45.0051
7 : 85 c 4.42036
7 : 86 c 49.612
7 : 91 c 12.3363
8 : 7 c 45.0495
8 : 13 c 7.73377
8 : 20 c 48.7019
8 : 22 c 46.1604
8 : 25 c 21.016
8 : 33 c 49.4712
8 : 35 c 48.616
8 : 36 c 42.6936
8 : 42 c 0.112068
8 : 43 c 46.5622
8 : 45 c 49.729
8 : 51 c 45.9177
8 : 75 c 44.4772
8 : 89 c 30.6005
9 : 4 c 6.45602
9 : 6 c 7.80503
9 : 16 c 11.952
9 : 20 c 48.5931
9 : 22 c 48.0814
9 : 22 c 48.0814
9 : 33 c 49.496
9 : 43 c 46.6552
9 : 44 c 21.047
9 : 45 c 49.7439
9 : 46 c 46.3543
9 : 67 c 42.4282
9 : 72 c 2.93186
9 : 75 c 44.5201
9 : 75 c 44.5201
9 : 78 c 0.365479
9 : 78 c 0.365479
9 : 80 c 18.6104
9 : 81 c 44.6483
9 : 85 c 7.73092
9 : 88 c 23.9613
9 : 96 c 34.5521
10 : 8 c 44.3884
10 : 21 c 49.1107
10 : 22 c 49.0677
10 : 22 c 49.0677
10 : 23 c 17.3953
10 : 33 c 49.6365
10 : 43 c 45.6601
10 : 43 c 45.6601
10 : 45 c 49.756
10 : 46 c 46.2879
10 : 49 c 49.7273
10 : 57 c 30.2068
10 : 65 c 10.8719
10 : 66 c 49.2212
10 : 66 c 49.2212
10 : 71 c 2.0719
10 : 74 c 2.62577
10 : 75 c 45.2782
10 : 90 c 0.212421
11 : 1 c 49.3223
11 : 6 c 4.58898
11 : 11 c 10.8738
11 : 15 c 18.3739
11 : 18 c 12.094
11 : 19 c 31.2341
11 : 22 c 49.0583
11 : 23 c 5.30807
11 : 24 c 2.96999
11 : 33 c 48.8106
11 : 37 c 49.7492
11 : 40 c 37.4754
