# =-=-=-=-=-=-=-=-=-=-=
# LOG DATA 
# =-=-=-=-=-=-=-=-=-=-=
#
# =-= Roborobo! 
# =-= Official version tag    : 20120605
# =-= Current build name      : Amsterdam build
# =-= Compilation version tag : Feb 20 2014 - 15:25:38
#
# Loaded time stamp           : 20140304-10h35m18s875707us
#
# random seed             : 1393929318
0 : 0 c 50
0 : 6 c 50
0 : 6 c 50
0 : 7 c 50
0 : 9 c 50
0 : 9 c 50
0 : 15 c 50
0 : 17 c 50
0 : 18 c 50
0 : 20 c 50
0 : 20 c 50
0 : 21 c 50
0 : 22 c 50
0 : 25 c 50
0 : 26 c 50
0 : 27 c 50
0 : 29 c 50
0 : 32 c 50
0 : 36 c 50
0 : 40 c 50
0 : 42 c 50
0 : 46 c 50
0 : 46 c 50
0 : 47 c 50
0 : 49 c 50
0 : 49 c 50
0 : 51 c 50
0 : 52 c 50
0 : 55 c 50
0 : 57 c 50
0 : 63 c 50
0 : 65 c 50
0 : 67 c 50
0 : 68 c 50
0 : 72 c 50
0 : 72 c 50
0 : 76 c 50
0 : 78 c 50
0 : 78 c 50
0 : 80 c 50
0 : 81 c 50
0 : 82 c 50
0 : 94 c 50
0 : 95 c 50
1 : 0 c 4.56499
1 : 0 c 4.56499
1 : 6 c 49.2316
1 : 6 c 49.2316
1 : 7 c 18.7926
1 : 7 c 18.7926
1 : 9 c 49.6604
1 : 9 c 49.6604
1 : 15 c 39.109
1 : 18 c 26.3187
1 : 20 c 0.653721
1 : 20 c 0.653721
1 : 22 c 27.4028
1 : 25 c 8.96807
1 : 26 c 1.64384
1 : 27 c 20.173
1 : 29 c 11.4609
1 : 32 c 11.3885
1 : 32 c 11.3885
1 : 36 c 48.1985
1 : 40 c 43.5107
1 : 42 c 49.6927
1 : 46 c 17.5828
1 : 46 c 17.5828
1 : 47 c 11.8881
1 : 49 c 4.92109
1 : 49 c 4.92109
1 : 51 c 36.9934
1 : 52 c 34.5861
1 : 55 c 22.7664
1 : 57 c 43.7092
1 : 63 c 12.2527
1 : 65 c 48.0651
1 : 67 c 25.51
1 : 68 c 49.6489
1 : 68 c 49.6489
1 : 72 c 4.93352
1 : 72 c 4.93352
1 : 76 c 48.3523
1 : 78 c 18.0563
1 : 78 c 18.0563
1 : 81 c 43.4457
