# =-=-=-=-=-=-=-=-=-=-=
# LOG DATA 
# =-=-=-=-=-=-=-=-=-=-=
#
# =-= Roborobo! 
# =-= Official version tag    : 20120605
# =-= Current build name      : Amsterdam build
# =-= Compilation version tag : Mar  4 2014 - 10:39:23
#
# Loaded time stamp           : 20140304-10h40m34s850911us
#
# random seed             : 1393929634
0 : 5 c 50
0 : 5 c 50
0 : 9 c 50
0 : 9 c 50
0 : 9 c 50
0 : 9 c 50
0 : 11 c 50
0 : 15 c 50
0 : 15 c 50
0 : 16 c 50
0 : 17 c 50
0 : 23 c 50
0 : 24 c 50
0 : 25 c 50
0 : 26 c 50
0 : 27 c 50
0 : 27 c 50
0 : 31 c 50
0 : 34 c 50
0 : 40 c 50
0 : 42 c 50
0 : 45 c 50
0 : 46 c 50
0 : 47 c 50
0 : 47 c 50
0 : 48 c 50
0 : 49 c 50
0 : 50 c 50
0 : 51 c 50
0 : 52 c 50
0 : 54 c 50
0 : 55 c 50
0 : 55 c 50
0 : 55 c 50
0 : 56 c 50
0 : 57 c 50
0 : 62 c 50
0 : 64 c 50
0 : 67 c 50
0 : 71 c 50
0 : 74 c 50
0 : 75 c 50
0 : 75 c 50
0 : 77 c 50
0 : 77 c 50
0 : 79 c 50
0 : 81 c 50
0 : 92 c 50
0 : 97 c 50
0 : 98 c 50
0 : 98 c 50
1 : 5 c 3.76517
1 : 5 c 3.76517
1 : 7 c 30.9529
1 : 7 c 30.9529
1 : 9 c 10.3735
1 : 9 c 10.3735
1 : 9 c 10.3735
1 : 9 c 10.3735
1 : 11 c 12.5132
1 : 15 c 48.0558
1 : 15 c 48.0558
1 : 16 c 43.2053
1 : 17 c 35.9661
1 : 19 c 21.429
1 : 24 c 49.361
1 : 25 c 49.0613
1 : 26 c 36.0714
1 : 27 c 45.9669
1 : 31 c 48.7586
1 : 34 c 9.75666
1 : 40 c 38.6624
1 : 42 c 27.5199
1 : 45 c 5.49707
1 : 46 c 1.04135
1 : 46 c 1.04135
1 : 47 c 2.12276
1 : 47 c 2.12276
1 : 47 c 2.12276
1 : 48 c 49.5873
1 : 49 c 3.05077
1 : 50 c 23.7554
1 : 51 c 17.2031
1 : 52 c 21.7567
1 : 54 c 18.0195
1 : 55 c 35.2249
1 : 55 c 35.2249
1 : 55 c 35.2249
1 : 56 c 10.5298
1 : 58 c 49.3111
1 : 62 c 32.9988
1 : 64 c 18.0628
1 : 67 c 0.247925
1 : 67 c 0.247925
1 : 71 c 0.811207
1 : 74 c 11.3581
1 : 75 c 49.6193
1 : 75 c 49.6193
1 : 77 c 45.6184
1 : 77 c 45.6184
1 : 77 c 45.6184
1 : 79 c 1.5352
1 : 79 c 1.5352
1 : 81 c 34.9612
1 : 92 c 8.5332
1 : 97 c 1.48648
1 : 98 c 49.909
2 : 4 c 7.63755
2 : 5 c 11.789
2 : 5 c 11.789
2 : 13 c 30.849
2 : 14 c 38.9362
2 : 15 c 49.7354
2 : 15 c 49.7354
2 : 24 c 49.2585
2 : 25 c 49.5408
2 : 31 c 47.9816
2 : 40 c 31.8523
2 : 48 c 49.4275
2 : 51 c 24.5581
2 : 58 c 49.8357
2 : 75 c 48.9913
2 : 75 c 48.9913
2 : 93 c 43.4434
2 : 98 c 49.9633
3 : 0 c 26.3493
3 : 0 c 26.3493
3 : 15 c 49.7504
3 : 15 c 49.7504
3 : 19 c 10.379
3 : 24 c 49.1122
3 : 25 c 49.5446
3 : 26 c 31.4953
3 : 27 c 44.8314
3 : 29 c 22.5816
3 : 31 c 48.3216
3 : 38 c 43.6594
3 : 39 c 0.0532112
3 : 42 c 41.5453
3 : 43 c 49.9285
3 : 44 c 41.751
3 : 48 c 49.4079
3 : 52 c 17.2827
3 : 58 c 49.8386
3 : 73 c 12.6052
3 : 75 c 49.0146
3 : 75 c 49.0146
3 : 77 c 48.3965
3 : 77 c 48.3965
3 : 77 c 48.3965
3 : 98 c 49.9636
4 : 4 c 1.91966
4 : 15 c 49.7616
4 : 15 c 49.7616
4 : 16 c 43.1595
4 : 16 c 43.1595
4 : 24 c 49.0193
4 : 25 c 49.5241
4 : 26 c 25.1787
4 : 31 c 47.2173
4 : 40 c 34.005
4 : 47 c 4.05653
4 : 48 c 49.4027
4 : 58 c 49.8284
4 : 72 c 6.46012
4 : 75 c 48.9332
4 : 75 c 48.9332
4 : 76 c 33.5518
4 : 77 c 48.0592
4 : 77 c 48.0592
4 : 82 c 1.98417
4 : 91 c 11.8251
4 : 93 c 43.5318
4 : 97 c 5.36965
4 : 98 c 49.9638
5 : 8 c 15.7292
5 : 15 c 49.772
5 : 15 c 49.772
5 : 24 c 49.142
5 : 25 c 49.328
5 : 27 c 41.6269
5 : 31 c 47.915
5 : 48 c 49.3827
5 : 50 c 45.7548
5 : 51 c 18.8524
5 : 58 c 49.8375
5 : 69 c 49.4674
5 : 75 c 49.0099
5 : 75 c 49.0099
5 : 77 c 48.153
5 : 77 c 48.153
5 : 93 c 44.1482
5 : 94 c 49.7452
5 : 98 c 49.964
6 : 0 c 21.6428
6 : 2 c 45.4159
6 : 10 c 36.8367
6 : 12 c 1.18793
6 : 13 c 30.2334
6 : 14 c 4.5306
6 : 15 c 49.6447
6 : 15 c 49.6447
6 : 21 c 0.306786
6 : 24 c 49.2698
6 : 25 c 49.1828
6 : 31 c 48.1745
6 : 48 c 49.3525
6 : 52 c 15.389
6 : 58 c 49.8346
6 : 64 c 17.8595
6 : 67 c 0.114563
6 : 70 c 43.9051
6 : 75 c 48.9674
6 : 75 c 48.9674
6 : 77 c 47.4525
6 : 77 c 47.4525
6 : 79 c 0.157589
6 : 86 c 0.352425
6 : 87 c 43.9681
6 : 98 c 49.9642
7 : 12 c 1.3966
7 : 14 c 13.075
7 : 15 c 49.6579
7 : 15 c 49.6579
7 : 24 c 47.1341
7 : 25 c 48.8085
7 : 26 c 33.1885
7 : 29 c 22.9012
7 : 33 c 46.427
7 : 47 c 3.11019
7 : 48 c 49.3188
7 : 58 c 49.8245
7 : 58 c 49.8245
7 : 62 c 25.8624
7 : 75 c 48.9386
7 : 75 c 48.9386
7 : 77 c 47.5442
7 : 77 c 47.5442
7 : 91 c 27.2414
7 : 93 c 44.9798
7 : 93 c 44.9798
7 : 98 c 49.9643
8 : 2 c 37.4474
8 : 12 c 1.3566
8 : 12 c 1.3566
8 : 15 c 49.671
8 : 15 c 49.671
8 : 16 c 42.8022
8 : 17 c 36.2308
8 : 24 c 46.0401
8 : 25 c 47.8836
8 : 41 c 22.0615
8 : 45 c 7.36456
8 : 48 c 49.2438
8 : 54 c 14.9794
8 : 55 c 42.4565
8 : 55 c 42.4565
8 : 55 c 42.4565
8 : 58 c 49.8012
8 : 71 c 0.201153
8 : 75 c 48.9958
8 : 75 c 48.9958
8 : 77 c 43.2464
8 : 77 c 43.2464
8 : 79 c 0.197922
8 : 81 c 34.9465
8 : 86 c 0.259865
8 : 87 c 42.4988
8 : 98 c 49.9644
8 : 99 c 6.69249
9 : 1 c 0.918427
9 : 6 c 0.647041
9 : 13 c 18.5524
9 : 15 c 49.6838
9 : 15 c 49.6838
9 : 24 c 47.6212
9 : 25 c 47.7084
