# =-=-=-=-=-=-=-=-=-=-=
# LOG DATA 
# =-=-=-=-=-=-=-=-=-=-=
#
# =-= Roborobo! 
# =-= Official version tag    : 20120605
# =-= Current build name      : Amsterdam build
# =-= Compilation version tag : Mar  5 2014 - 11:11:36
#
# Loaded time stamp           : 20140305-12h08m03s509475us
#
# random seed             : 1394021283
0 : 1 c 50
0 : 2 c 50
0 : 5 c 50
0 : 5 c 50
0 : 6 c 50
0 : 7 c 50
0 : 8 c 50
0 : 12 c 50
0 : 14 c 50
0 : 18 c 50
0 : 20 c 50
0 : 21 c 50
0 : 22 c 50
0 : 26 c 50
0 : 26 c 50
0 : 27 c 50
0 : 29 c 50
0 : 30 c 50
0 : 31 c 50
0 : 33 c 50
0 : 34 c 50
0 : 36 c 50
0 : 39 c 50
0 : 40 c 50
0 : 40 c 50
0 : 41 c 50
0 : 44 c 50
0 : 45 c 50
0 : 46 c 50
0 : 50 c 50
0 : 50 c 50
0 : 57 c 50
0 : 59 c 50
0 : 59 c 50
0 : 64 c 50
0 : 65 c 50
0 : 67 c 50
0 : 72 c 50
0 : 74 c 50
0 : 79 c 50
0 : 80 c 50
0 : 84 c 50
0 : 84 c 50
0 : 87 c 50
0 : 89 c 50
0 : 89 c 50
0 : 90 c 50
0 : 91 c 50
0 : 92 c 50
0 : 93 c 50
0 : 97 c 50
0 : 97 c 50
0 : 97 c 50
0 : 99 c 50
1 : 1 c 0
1 : 2 c 0
1 : 5 c 0
1 : 5 c 0
1 : 6 c 0
1 : 7 c 0
1 : 8 c 0
1 : 12 c 0
1 : 14 c 0
1 : 17 c 0
1 : 18 c 0
1 : 20 c 0
1 : 21 c 0
1 : 22 c 0
1 : 26 c 0
1 : 26 c 0
1 : 27 c 0
1 : 29 c 0
1 : 30 c 0
1 : 31 c 0
1 : 33 c 0
1 : 34 c 0
1 : 36 c 0
1 : 39 c 0
1 : 40 c 0
1 : 40 c 0
1 : 41 c 0
1 : 44 c 0
1 : 45 c 0
1 : 46 c 0
1 : 50 c 0
1 : 50 c 0
1 : 57 c 0
1 : 59 c 0
1 : 59 c 0
1 : 64 c 0
1 : 65 c 0
1 : 67 c 0
1 : 69 c 0
1 : 72 c 0
1 : 74 c 0
1 : 79 c 0
1 : 80 c 0
1 : 84 c 0
1 : 84 c 0
1 : 87 c 0
1 : 89 c 0
1 : 89 c 0
1 : 90 c 0
1 : 91 c 0
1 : 92 c 0
1 : 93 c 0
1 : 97 c 0
1 : 97 c 0
1 : 97 c 0
1 : 99 c 0
2 : 6 c 0
2 : 23 c 0
2 : 25 c 0
3 : 7 c 0
3 : 12 c 0
4 : 16 c 0
4 : 22 c 0
4 : 24 c 0
4 : 35 c 0
4 : 42 c 0
4 : 58 c 0
5 : 34 c 0
5 : 88 c 0
5 : 92 c 0
6 : 22 c 0
6 : 23 c 0
6 : 32 c 0
7 : 18 c 0
7 : 22 c 0
7 : 29 c 0
8 : 30 c 0
8 : 62 c 0
8 : 80 c 0
9 : 31 c 0
9 : 36 c 0
9 : 77 c 0
10 : 6 c 0
10 : 40 c 0
10 : 88 c 0
11 : 7 c 0
11 : 67 c 0
12 : 9 c 0
12 : 88 c 0
13 : 38 die
13 : 38 lf 14
13 : 38 a 1.24933
13 : 69 c 0
14 : 88 c 0
16 : 62 c 0
16 : 88 c 0
18 : 9 c 0
18 : 28 die
18 : 28 lf 19
18 : 28 a 0.920562
18 : 29 c 0
18 : 74 die
18 : 74 lf 19
18 : 74 a 0.153427
19 : 9 c 0
19 : 32 c 0
20 : 71 c 0
22 : 29 c 0
23 : 65 c 0
24 : 13 c 0
24 : 13 c 0
25 : 24 c 0
26 : 1 c 0
26 : 2 c 0
26 : 5 c 0
26 : 6 c 0
26 : 8 c 0
26 : 12 c 0
26 : 13 c 0
26 : 14 c 0
26 : 17 c 0
26 : 18 c 0
26 : 20 c 0
26 : 21 c 0
26 : 22 c 0
26 : 26 c 0
26 : 26 c 0
26 : 27 c 0
26 : 39 c 0
26 : 40 c 0
