# =-=-=-=-=-=-=-=-=-=-=
# LOG DATA 
# =-=-=-=-=-=-=-=-=-=-=
#
# =-= Roborobo! 
# =-= Official version tag    : 20120605
# =-= Current build name      : Amsterdam build
# =-= Compilation version tag : Mar  4 2014 - 10:39:23
#
# Loaded time stamp           : 20140304-11h52m31s654819us
#
# random seed             : 1393933951
0 : 0 c 50
0 : 3 c 50
0 : 3 c 50
0 : 4 c 50
0 : 13 c 50
0 : 21 c 50
0 : 22 c 50
0 : 24 c 50
0 : 27 c 50
0 : 30 c 50
0 : 31 c 50
0 : 31 c 50
0 : 32 c 50
0 : 33 c 50
0 : 33 c 50
0 : 34 c 50
0 : 38 c 50
0 : 41 c 50
0 : 42 c 50
0 : 42 c 50
0 : 43 c 50
0 : 48 c 50
0 : 48 c 50
0 : 49 c 50
0 : 53 c 50
0 : 54 c 50
0 : 54 c 50
0 : 55 c 50
0 : 56 c 50
0 : 57 c 50
0 : 59 c 50
0 : 68 c 50
0 : 69 c 50
0 : 71 c 50
0 : 73 c 50
0 : 74 c 50
0 : 74 c 50
0 : 74 c 50
0 : 75 c 50
0 : 77 c 50
0 : 79 c 50
0 : 81 c 50
0 : 83 c 50
0 : 85 c 50
0 : 85 c 50
0 : 86 c 50
0 : 87 c 50
0 : 87 c 50
0 : 92 c 50
0 : 92 c 50
0 : 94 c 50
0 : 95 c 50
0 : 97 c 50
0 : 99 c 50
1 : 0 c 9.56056
1 : 3 c 48.0092
1 : 3 c 48.0092
1 : 3 c 48.0092
1 : 4 c 6.23181
1 : 13 c 38.6342
1 : 21 c 34.7519
1 : 22 c 29.2469
1 : 24 c 22.9488
1 : 27 c 1.17221
1 : 30 c 0.356457
1 : 31 c 48.6377
1 : 31 c 48.6377
1 : 32 c 37.6392
1 : 33 c 38.255
1 : 34 c 41.0455
1 : 37 c 3.89161
1 : 39 c 16.2591
1 : 41 c 10.7559
1 : 42 c 17.8736
1 : 42 c 17.8736
1 : 43 c 33.2805
1 : 48 c 33.4253
1 : 48 c 33.4253
1 : 49 c 47.5158
1 : 53 c 26.2055
1 : 54 c 23.5818
1 : 54 c 23.5818
1 : 55 c 17.2656
1 : 56 c 49.1206
1 : 57 c 0.184994
1 : 59 c 44.7361
1 : 68 c 1.71218
1 : 69 c 3.09611
1 : 71 c 35.6289
1 : 73 c 37.4489
1 : 74 c 33.7251
1 : 74 c 33.7251
1 : 74 c 33.7251
1 : 75 c 13.2576
1 : 77 c 2.78298
1 : 79 c 34.7388
1 : 80 c 4.83279
1 : 81 c 27.677
1 : 83 c 1.89136
1 : 85 c 15.5439
1 : 85 c 15.5439
1 : 85 c 15.5439
1 : 86 c 19.7684
1 : 87 c 35.2053
1 : 87 c 35.2053
1 : 92 c 21.0566
1 : 92 c 21.0566
1 : 95 c 5.06168
1 : 97 c 49.4328
1 : 97 c 49.4328
1 : 99 c 8.29468
2 : 3 c 40.2051
2 : 3 c 40.2051
2 : 3 c 40.2051
2 : 31 c 49.0412
2 : 31 c 49.0412
2 : 49 c 49.3571
2 : 56 c 49.1354
2 : 97 c 49.6398
2 : 97 c 49.6398
2 : 98 c 25.4107
3 : 31 c 48.2457
3 : 31 c 48.2457
3 : 49 c 49.5946
3 : 56 c 49.0963
3 : 59 c 13.8922
3 : 97 c 49.6707
3 : 97 c 49.6707
4 : 27 c 28.8205
4 : 31 c 48.1385
4 : 31 c 48.1385
4 : 35 c 23.5408
4 : 45 c 4.95384
4 : 49 c 49.2959
4 : 56 c 49.0496
4 : 97 c 49.6989
4 : 97 c 49.6989
5 : 31 c 47.8899
5 : 31 c 47.8899
5 : 34 c 39.179
5 : 49 c 48.9849
5 : 56 c 49.0134
5 : 80 c 13.6059
5 : 97 c 49.7257
5 : 97 c 49.7257
6 : 3 c 33.4891
6 : 3 c 33.4891
6 : 24 c 46.7666
6 : 31 c 48.2512
6 : 31 c 48.2512
6 : 33 c 44.9754
6 : 34 c 38.6289
6 : 49 c 48.6664
6 : 56 c 48.9882
6 : 91 c 31.823
6 : 97 c 49.7455
7 : 24 c 46.3501
7 : 31 c 48.6013
7 : 31 c 48.6013
7 : 32 c 29.9157
7 : 38 c 45.5072
7 : 44 c 44.753
7 : 46 c 40.1424
7 : 49 c 47.8655
7 : 53 c 45.4163
7 : 73 c 43.3158
7 : 79 c 42.173
7 : 97 c 49.7636
8 : 21 c 31.1088
8 : 31 c 48.7016
8 : 31 c 48.7016
8 : 33 c 18.2936
8 : 39 c 5.10149
8 : 49 c 45.419
8 : 58 c 38.2549
8 : 65 c 0.30191
8 : 71 c 21.8923
8 : 87 c 37.5828
8 : 87 c 37.5828
8 : 93 c 41.3148
8 : 97 c 49.7715
9 : 31 c 48.7362
9 : 31 c 48.7362
9 : 38 c 45.341
9 : 44 c 46.8438
9 : 53 c 44.0106
9 : 74 c 38.885
9 : 74 c 38.885
9 : 91 c 41.66
9 : 97 c 49.7715
10 : 31 c 48.5639
10 : 31 c 48.5639
10 : 34 c 37.1513
10 : 44 c 47.7185
10 : 49 c 41.7626
10 : 73 c 42.746
10 : 79 c 33.8269
10 : 94 c 12.3203
10 : 97 c 49.5032
11 : 7 c 19.8868
11 : 31 c 48.8145
11 : 31 c 48.8145
11 : 34 c 40.0365
11 : 38 c 44.6995
11 : 39 c 17.4926
11 : 44 c 48.1527
11 : 46 c 42.0412
11 : 53 c 44.7488
11 : 54 c 30.0966
11 : 72 c 27.6068
11 : 97 c 49.5219
12 : 0 c 12.2126
12 : 31 c 48.9675
12 : 31 c 48.9675
12 : 44 c 48.4924
12 : 81 c 10.2364
12 : 93 c 44.2249
12 : 97 c 49.5586
