# =-=-=-=-=-=-=-=-=-=-=
# LOG DATA 
# =-=-=-=-=-=-=-=-=-=-=
#
# =-= Roborobo! 
# =-= Official version tag    : 20120605
# =-= Current build name      : Amsterdam build
# =-= Compilation version tag : Feb 20 2014 - 15:25:38
#
# Loaded time stamp           : 20140220-15h35m41s709317us
#
# random seed             : 1392910541
0 : 0 c 50
0 : 1 c 50
0 : 5 c 50
0 : 5 c 50
0 : 6 c 50
0 : 8 c 50
0 : 9 c 50
0 : 13 c 50
0 : 14 c 50
0 : 20 c 50
0 : 21 c 50
0 : 21 c 50
0 : 25 c 50
0 : 32 c 50
0 : 35 c 50
0 : 38 c 50
0 : 38 c 50
0 : 46 c 50
0 : 47 c 50
0 : 48 c 50
0 : 49 c 50
0 : 49 c 50
0 : 50 c 50
0 : 52 c 50
0 : 57 c 50
0 : 57 c 50
0 : 59 c 50
0 : 61 c 50
0 : 67 c 50
0 : 69 c 50
0 : 72 c 50
0 : 74 c 50
0 : 76 c 50
0 : 77 c 50
0 : 79 c 50
0 : 80 c 50
0 : 82 c 50
0 : 82 c 50
0 : 86 c 50
0 : 86 c 50
0 : 87 c 50
0 : 87 c 50
0 : 87 c 50
0 : 88 c 50
0 : 89 c 50
0 : 92 c 50
0 : 94 c 50
0 : 95 c 50
0 : 97 c 50
1 : 0 c 1.56461
1 : 1 c 49.0718
1 : 5 c 1.89415
1 : 5 c 1.89415
1 : 6 c 46.6425
1 : 8 c 39.2715
1 : 9 c 3.81046
1 : 13 c 33.5246
1 : 14 c 15.5056
1 : 20 c 28.5029
1 : 21 c 4.27395
1 : 21 c 4.27395
1 : 25 c 3.25896
1 : 32 c 8.62871
1 : 35 c 48.9605
1 : 38 c 49.3857
1 : 38 c 49.3857
1 : 46 c 15.5163
1 : 47 c 21.9353
1 : 48 c 48.8507
1 : 49 c 1.15992
1 : 49 c 1.15992
1 : 50 c 10.6357
1 : 52 c 30.5252
1 : 57 c 42.9309
1 : 57 c 42.9309
1 : 59 c 49.0269
1 : 61 c 48.3573
1 : 61 c 48.3573
1 : 67 c 0.587494
1 : 69 c 1.69699
1 : 72 c 8.92545
1 : 74 c 46.3663
1 : 76 c 27.3387
1 : 77 c 31.1077
1 : 79 c 4.07721
1 : 80 c 28.9896
1 : 86 c 5.62734
1 : 86 c 5.62734
1 : 87 c 3.43024
1 : 87 c 3.43024
1 : 87 c 3.43024
1 : 88 c 48.299
1 : 89 c 47.8144
1 : 92 c 32.3253
1 : 94 c 1.23276
1 : 97 c 22.8372
2 : 1 c 49.1362
2 : 8 c 41.2315
2 : 35 c 47.6999
2 : 38 c 49.4349
2 : 38 c 49.4349
2 : 48 c 42.9965
2 : 59 c 47.1324
2 : 61 c 48.6626
2 : 61 c 48.6626
2 : 68 c 49.7144
2 : 68 c 49.7144
2 : 74 c 46.2947
2 : 78 c 18.2647
2 : 88 c 48.2964
2 : 89 c 47.9023
3 : 1 c 49.1419
3 : 13 c 23.3415
3 : 32 c 39.5837
3 : 35 c 47.9174
3 : 38 c 49.52
3 : 38 c 49.52
3 : 38 c 49.52
3 : 59 c 47.2862
3 : 61 c 47.9046
3 : 61 c 47.9046
3 : 68 c 49.5652
3 : 68 c 49.5652
3 : 88 c 48.2861
3 : 94 c 0.537056
4 : 1 c 48.958
4 : 24 c 0.437847
4 : 28 c 48.9472
4 : 35 c 46.8173
4 : 37 c 6.52737
4 : 38 c 48.5995
4 : 38 c 48.5995
4 : 38 c 48.5995
4 : 57 c 6.21648
4 : 57 c 6.21648
4 : 59 c 47.4292
4 : 61 c 48.088
4 : 61 c 48.088
4 : 68 c 49.6184
4 : 68 c 49.6184
4 : 88 c 48.3153
5 : 1 c 49.0613
5 : 12 c 48.4792
5 : 16 c 32.6379
5 : 19 c 6.60623
5 : 28 c 48.9161
5 : 35 c 47.8498
5 : 38 c 48.7292
5 : 38 c 48.7292
5 : 38 c 48.7292
5 : 48 c 36.3715
5 : 61 c 48.2606
5 : 61 c 48.2606
5 : 67 c 0.301388
5 : 68 c 49.3738
5 : 91 c 0.443676
6 : 1 c 49.0806
6 : 1 c 49.0806
6 : 8 c 41.8481
6 : 8 c 41.8481
6 : 12 c 48.4793
6 : 28 c 48.8803
6 : 28 c 48.8803
6 : 35 c 48.0932
6 : 38 c 49.1744
6 : 38 c 49.1744
6 : 61 c 48.3516
6 : 61 c 48.3516
6 : 68 c 48.9776
6 : 85 c 8.66689
7 : 1 c 49.0653
7 : 1 c 49.0653
7 : 12 c 48.4149
7 : 14 c 24.933
7 : 26 c 1.40374
7 : 28 c 48.8514
7 : 28 c 48.8514
7 : 28 c 48.8514
7 : 30 c 47.025
7 : 35 c 48.3135
7 : 38 c 49.256
7 : 38 c 49.256
7 : 61 c 48.5381
7 : 61 c 48.5381
7 : 62 c 40.6215
8 : 1 c 49.0732
8 : 1 c 49.0732
8 : 6 c 44.6703
8 : 8 c 42.0326
8 : 12 c 48.4331
8 : 28 c 48.7961
8 : 28 c 48.7961
8 : 28 c 48.7961
8 : 30 c 47.1254
8 : 32 c 43.017
8 : 35 c 47.2639
8 : 38 c 48.72
8 : 38 c 48.72
8 : 42 c 22.8988
8 : 61 c 48.6029
8 : 61 c 48.6029
8 : 61 c 48.6029
8 : 67 c 0.573395
8 : 78 c 17.9253
9 : 1 c 49.0105
9 : 1 c 49.0105
9 : 12 c 48.4491
9 : 22 c 47.9031
9 : 28 c 48.6805
9 : 28 c 48.6805
9 : 28 c 48.6805
9 : 30 c 47.334
9 : 35 c 47.2295
9 : 38 c 48.674
9 : 61 c 48.7305
9 : 61 c 48.7305
9 : 61 c 48.7305
9 : 92 c 41.1368
10 : 1 c 49.0219
10 : 1 c 49.0219
10 : 6 c 48.2144
10 : 8 c 41.8781
10 : 12 c 48.4617
10 : 22 c 47.2927
10 : 28 c 48.5215
10 : 28 c 48.5215
10 : 28 c 48.5215
10 : 30 c 47.5035
10 : 35 c 47.5935
10 : 38 c 48.768
10 : 61 c 48.805
10 : 61 c 48.805
10 : 77 c 7.18147
11 : 1 c 49.106
11 : 6 c 46.3483
11 : 8 c 41.7854
11 : 12 c 48.3797
11 : 20 c 30.9675
11 : 22 c 47.0064
11 : 28 c 48.1574
11 : 28 c 48.1574
11 : 28 c 48.1574
11 : 30 c 4.02805
11 : 32 c 2.51311
11 : 35 c 47.0507
11 : 38 c 48.8145
11 : 48 c 49.2801
11 : 61 c 48.3606
11 : 61 c 48.3606
11 : 62 c 40.0113
12 : 1 c 49.1045
12 : 6 c 45.0597
12 : 12 c 47.9584
12 : 22 c 40.4106
12 : 28 c 47.6695
12 : 28 c 47.6695
12 : 28 c 47.6695
12 : 35 c 48.0457
12 : 37 c 5.47952
12 : 38 c 48.908
12 : 48 c 49.7577
12 : 61 c 48.2454
12 : 61 c 48.2454
12 : 76 c 46.6317
12 : 80 c 29.8391
13 : 1 c 49.0537
