# =-=-=-=-=-=-=-=-=-=-=
# LOG DATA 
# =-=-=-=-=-=-=-=-=-=-=
#
# =-= Roborobo! 
# =-= Official version tag    : 20120605
# =-= Current build name      : Amsterdam build
# =-= Compilation version tag : Mar  4 2014 - 10:39:23
#
# Loaded time stamp           : 20140304-14h27m21s939327us
#
# random seed             : 1393943241
0 : 0 c 50
0 : 0 c 50
0 : 5 c 50
0 : 5 c 50
0 : 6 c 50
0 : 8 c 50
0 : 8 c 50
0 : 8 c 50
0 : 11 c 50
0 : 11 c 50
0 : 12 c 50
0 : 15 c 50
0 : 16 c 50
0 : 17 c 50
0 : 19 c 50
0 : 20 c 50
0 : 26 c 50
0 : 30 c 50
0 : 38 c 50
0 : 41 c 50
0 : 44 c 50
0 : 45 c 50
0 : 48 c 50
0 : 52 c 50
0 : 53 c 50
0 : 55 c 50
0 : 55 c 50
0 : 62 c 50
0 : 69 c 50
0 : 71 c 50
0 : 72 c 50
0 : 73 c 50
0 : 73 c 50
0 : 74 c 50
0 : 74 c 50
0 : 77 c 50
0 : 77 c 50
0 : 78 c 50
0 : 80 c 50
0 : 80 c 50
0 : 84 c 50
0 : 86 c 50
0 : 89 c 50
0 : 89 c 50
0 : 90 c 50
0 : 92 c 50
0 : 94 c 50
0 : 97 c 50
0 : 98 c 50
0 : 98 c 50
0 : 99 c 50
1 : 0 c 16.2424
1 : 0 c 16.2424
1 : 5 c 41.179
1 : 6 c 3.47143
1 : 8 c 14.2059
1 : 11 c 48.5086
1 : 11 c 48.5086
1 : 11 c 48.5086
1 : 12 c 22.051
1 : 15 c 47.4373
1 : 17 c 17.2809
1 : 19 c 2.47708
1 : 20 c 39.5778
1 : 26 c 4.48247
1 : 30 c 37.4713
1 : 38 c 5.07061
1 : 44 c 15.9538
1 : 45 c 43.8569
1 : 48 c 16.0174
1 : 51 c 35.5789
1 : 52 c 7.04724
1 : 52 c 7.04724
1 : 53 c 23.8915
1 : 55 c 30.9569
1 : 55 c 30.9569
1 : 62 c 39.6868
1 : 69 c 45.4854
1 : 71 c 35.4608
1 : 72 c 37.6515
1 : 73 c 32.8528
1 : 74 c 2.92742
1 : 74 c 2.92742
1 : 77 c 1.77591
1 : 77 c 1.77591
1 : 78 c 4.00037
1 : 80 c 4.04943
1 : 80 c 4.04943
1 : 86 c 45.8155
1 : 89 c 48.7695
1 : 89 c 48.7695
1 : 90 c 2.40248
1 : 92 c 48.5183
1 : 94 c 49.7679
1 : 97 c 1.0173
1 : 98 c 47.1173
1 : 98 c 47.1173
1 : 99 c 29.2823
2 : 7 c 49.0396
2 : 11 c 49.5057
2 : 11 c 49.5057
2 : 11 c 49.5057
2 : 15 c 20.7856
2 : 24 c 3.51729
2 : 24 c 3.51729
2 : 24 c 3.51729
2 : 89 c 48.1325
2 : 89 c 48.1325
2 : 92 c 49.3769
2 : 94 c 49.0314
2 : 98 c 47.7231
3 : 7 c 49.0868
3 : 11 c 49.6326
3 : 11 c 49.6326
3 : 11 c 49.6326
3 : 63 c 37.2464
3 : 69 c 42.6885
3 : 86 c 45.8384
3 : 89 c 48.2987
3 : 89 c 48.2987
3 : 92 c 49.3324
3 : 94 c 49.3062
3 : 95 c 32.3852
3 : 98 c 47.1526
4 : 7 c 49.0793
4 : 11 c 49.686
4 : 11 c 49.686
4 : 11 c 49.686
4 : 35 c 15.5959
4 : 45 c 38.0435
4 : 51 c 37.52
4 : 52 c 2.94093
4 : 61 c 18.9213
4 : 89 c 46.5361
4 : 89 c 46.5361
4 : 92 c 49.0725
4 : 94 c 49.6837
5 : 1 c 3.8546
5 : 5 c 27.0177
5 : 7 c 49.0869
5 : 11 c 49.5701
5 : 11 c 49.5701
5 : 47 c 31.7912
5 : 66 c 16.9913
5 : 70 c 20.1101
5 : 86 c 45.8241
5 : 89 c 46.6651
5 : 89 c 46.6651
5 : 89 c 46.6651
5 : 92 c 48.8606
5 : 94 c 49.7558
6 : 7 c 49.0915
6 : 11 c 49.4063
6 : 11 c 49.4063
6 : 62 c 44.1193
6 : 66 c 15.4993
6 : 89 c 46.7981
6 : 89 c 46.7981
6 : 89 c 46.7981
6 : 92 c 49.409
6 : 94 c 47.1556
7 : 6 c 2.59161
7 : 7 c 49.1011
7 : 11 c 49.3258
7 : 11 c 49.3258
7 : 30 c 33.803
7 : 53 c 26.4932
7 : 61 c 24.2656
7 : 63 c 23.3982
7 : 72 c 26.7363
7 : 86 c 45.7296
7 : 89 c 46.9214
7 : 89 c 46.9214
7 : 90 c 2.00957
7 : 92 c 49.3959
7 : 94 c 47.2646
8 : 5 c 31.7535
8 : 7 c 49.0794
8 : 11 c 47.9168
8 : 16 c 46.1093
8 : 40 c 4.76501
8 : 45 c 19.1746
8 : 46 c 40.619
8 : 54 c 36.9836
8 : 59 c 11.2818
8 : 62 c 44.3792
8 : 71 c 39.4875
8 : 73 c 24.8225
8 : 84 c 32.3974
8 : 92 c 49.4018
8 : 94 c 47.3656
9 : 7 c 47.9209
9 : 11 c 45.6428
9 : 16 c 46.2923
9 : 40 c 5.5793
9 : 86 c 45.5473
9 : 92 c 49.4284
9 : 94 c 47.4611
10 : 7 c 48.4521
10 : 11 c 41.0288
10 : 16 c 46.8868
10 : 55 c 47.9775
10 : 62 c 44.2379
10 : 92 c 49.4349
11 : 7 c 48.6236
11 : 11 c 42.5698
11 : 16 c 47.6488
11 : 20 c 33.6048
11 : 41 c 1.15934
11 : 55 c 43.7883
11 : 86 c 45.3553
11 : 92 c 49.4291
12 : 7 c 48.7709
12 : 16 c 47.524
12 : 23 c 3.20986
12 : 62 c 42.6753
12 : 94 c 48.9832
13 : 7 c 48.8618
13 : 16 c 46.5866
13 : 71 c 41.1598
13 : 84 c 34.7935
13 : 86 c 45.165
13 : 94 c 49.0974
14 : 7 c 48.8413
14 : 11 c 49.5013
14 : 11 c 49.5013
14 : 12 c 26.3684
14 : 32 c 47.8943
14 : 45 c 10.6885
14 : 54 c 43.2598
14 : 55 c 32.8998
14 : 77 c 0.343426
14 : 94 c 49.2266
15 : 7 c 48.8887
