# =-=-=-=-=-=-=-=-=-=-=
# LOG DATA 
# =-=-=-=-=-=-=-=-=-=-=
#
# =-= Roborobo! 
# =-= Official version tag    : 20120605
# =-= Current build name      : Amsterdam build
# =-= Compilation version tag : Mar 18 2014 - 09:10:25
#
# Loaded time stamp           : 20140326-01h44m06s037393us
#
# random seed             : 1395798246
0 : 2 c 50
0 : 6 c 50
0 : 7 c 50
0 : 12 c 50
0 : 16 c 50
0 : 17 c 50
0 : 19 c 50
0 : 22 c 50
0 : 25 c 50
0 : 25 c 50
0 : 26 c 50
0 : 28 c 50
0 : 29 c 50
0 : 29 c 50
0 : 29 c 50
0 : 34 c 50
0 : 35 c 50
0 : 36 c 50
0 : 37 c 50
0 : 38 c 50
0 : 41 c 50
0 : 43 c 50
0 : 46 c 50
0 : 46 c 50
0 : 51 c 50
0 : 51 c 50
0 : 56 c 50
0 : 56 c 50
0 : 57 c 50
0 : 60 c 50
0 : 61 c 50
0 : 62 c 50
0 : 63 c 50
0 : 64 c 50
0 : 65 c 50
0 : 72 c 50
0 : 72 c 50
0 : 75 c 50
0 : 78 c 50
0 : 79 c 50
0 : 80 c 50
0 : 81 c 50
0 : 85 c 50
0 : 87 c 50
0 : 90 c 50
0 : 90 c 50
0 : 91 c 50
0 : 92 c 50
0 : 95 c 50
0 : 97 c 50
0 : 99 c 50
0 : Agent Points Created 0
1 : 2 c 0
1 : 3 c 0
1 : 6 c 0
1 : 7 c 0
1 : 12 c 0
1 : 16 c 0
1 : 17 c 0
1 : 19 c 0
1 : 22 c 0
1 : 25 c 0
1 : 25 c 0
1 : 26 c 0
1 : 28 c 0
1 : 29 c 0
1 : 29 c 0
1 : 29 c 0
1 : 34 c 0
1 : 35 c 0
1 : 36 c 0
1 : 38 c 0
1 : 39 die
1 : 39 lf 2
1 : 39 a 1.45756
1 : 41 c 0
1 : 43 c 0
1 : 46 c 0
1 : 51 c 0
1 : 51 c 0
1 : 56 c 0
1 : 56 c 0
1 : 57 c 0
1 : 59 c 0
1 : 60 c 0
1 : 61 c 0
1 : 62 c 0
1 : 62 die
1 : 62 lf 2
1 : 62 a 1.45756
1 : 63 c 0
1 : 64 c 0
1 : 65 c 0
1 : 72 c 0
1 : 72 c 0
1 : 75 c 0
1 : 76 c 0
1 : 78 c 0
1 : 79 c 0
1 : 80 c 0
1 : 81 c 0
1 : 85 c 0
1 : 87 c 0
1 : 90 c 0
1 : 90 c 0
1 : 91 c 0
1 : 92 c 0
1 : 95 c 0
1 : 95 c 0
1 : 97 c 0
1 : 99 c 0
1 : Agent Points Created 0
2 : 11 die
2 : 11 lf 3
2 : 11 a 0.971704
2 : 46 c 0
2 : 54 c 0
2 : 99 c 0
2 : Agent Points Created 0
3 : 3 c 0
3 : 59 c 0
3 : 90 c 0
3 : Agent Points Created 0
4 : 26 c 0
4 : 32 c 0
4 : Agent Points Created 0
5 : 67 c 0
5 : Agent Points Created 0
6 : 34 c 0
6 : 43 c 0
6 : 50 c 0
6 : Agent Points Created 0
7 : 46 c 0
7 : 72 c 0
7 : 77 c 0
7 : Agent Points Created 0
8 : 92 c 0
8 : Agent Points Created 0
9 : 10 c 0
9 : 91 c 0
9 : Agent Points Created 0
10 : 40 c 0
10 : Agent Points Created 0
11 : 46 c 0
11 : 61 c 0
11 : Agent Points Created 0
12 : 70 c 0
12 : Agent Points Created 0
13 : 27 c 0
13 : 51 c 0
13 : 81 c 0
13 : Agent Points Created 0
14 : 6 c 0
14 : 64 c 0
14 : Agent Points Created 0
15 : 53 c 0
15 : Agent Points Created 0
16 : 73 c 0
16 : Agent Points Created 0
17 : Agent Points Created 0
18 : Agent Points Created 0
19 : Agent Points Created 0
20 : Agent Points Created 0
21 : 73 c 0
21 : Agent Points Created 0
22 : 43 c 0
22 : 99 c 0
22 : Agent Points Created 0
23 : 65 c 0
23 : Agent Points Created 0
24 : 7 c 0
24 : Agent Points Created 0
25 : Agent Points Created 0
26 : 2 c 0
26 : 12 c 0
26 : 17 c 0
26 : 19 c 0
26 : 22 c 0
26 : 25 c 0
26 : 25 c 0
26 : 26 c 0
26 : 29 c 0
26 : 29 c 0
26 : 29 c 0
26 : 34 c 0
26 : 35 c 0
26 : 45 c 0
26 : 46 c 0
26 : 56 c 0
26 : 56 c 0
26 : 60 c 0
26 : 61 c 0
26 : 64 c 0
26 : 70 c 0
26 : 72 c 0
26 : 75 c 0
26 : 76 c 0
26 : 78 c 0
26 : 79 c 0
26 : 85 c 0
26 : 87 c 0
26 : 90 c 0
26 : 90 c 0
26 : 95 c 0
26 : Agent Points Created 0
27 : 46 c 0
27 : 81 c 0
27 : 82 c 0
27 : Agent Points Created 0
28 : 6 c 0
28 : 92 c 0
